Planning Area,Subzone,Age Group,Type of Dwelling,2020
Bedok,Bayshore,35 - 39,Condominiums and Other Apartments,530
Bedok,Bayshore,35 - 39,Landed Properties,20
Bedok,Bayshore,35 - 39,Others,-
Bedok,Bayshore,40 - 44,Total,770
Bedok,Bayshore,40 - 44,Total HDB^,-
Bedok,Bayshore,40 - 44,1- and 2-Room Flats*,-
Bedok,Bayshore,40 - 44,3-Room Flats,-
Bedok,Bayshore,40 - 44,4-Room Flats,-
Bedok,Bayshore,40 - 44,5-Room and Executive Flats,-
Bedok,Bayshore,40 - 44,Condominiums and Other Apartments,750
Bedok,Bayshore,40 - 44,Landed Properties,20
Bedok,Bayshore,40 - 44,Others,-
Bedok,Bayshore,45 - 49,Total,860
Bedok,Bayshore,45 - 49,Total HDB^,-
Bedok,Bayshore,45 - 49,1- and 2-Room Flats*,-
Bedok,Bayshore,45 - 49,3-Room Flats,-
Bedok,Bayshore,45 - 49,4-Room Flats,-
Bedok,Bayshore,45 - 49,5-Room and Executive Flats,-
Bedok,Bayshore,45 - 49,Condominiums and Other Apartments,820
Bedok,Bayshore,45 - 49,Landed Properties,40
Bedok,Bayshore,45 - 49,Others,-
Bedok,Bayshore,50 - 54,Total,650
Bedok,Bayshore,50 - 54,Total HDB^,-
Bedok,Bayshore,50 - 54,1- and 2-Room Flats*,-
Bedok,Bayshore,50 - 54,3-Room Flats,-
Bedok,Bayshore,50 - 54,4-Room Flats,-
Bedok,Bayshore,50 - 54,5-Room and Executive Flats,-
Bedok,Bayshore,50 - 54,Condominiums and Other Apartments,620
Bedok,Bayshore,50 - 54,Landed Properties,20
Bedok,Bayshore,50 - 54,Others,-
Bedok,Bayshore,55 - 59,Total,510
Bedok,Bayshore,55 - 59,Total HDB^,-
Bedok,Bayshore,55 - 59,1- and 2-Room Flats*,-
Bedok,Bayshore,55 - 59,3-Room Flats,-
Bedok,Bayshore,55 - 59,4-Room Flats,-
Bedok,Bayshore,55 - 59,5-Room and Executive Flats,-
Bedok,Bayshore,55 - 59,Condominiums and Other Apartments,480
Bedok,Bayshore,55 - 59,Landed Properties,30
Bedok,Bayshore,55 - 59,Others,-
Bedok,Bayshore,60 - 64,Total,400
Bedok,Bayshore,60 - 64,Total HDB^,-
Bedok,Bayshore,60 - 64,1- and 2-Room Flats*,-
Bedok,Bayshore,60 - 64,3-Room Flats,-
Bedok,Bayshore,60 - 64,4-Room Flats,-
Bedok,Bayshore,60 - 64,5-Room and Executive Flats,-
Bedok,Bayshore,60 - 64,Condominiums and Other Apartments,360
Bedok,Bayshore,60 - 64,Landed Properties,30
Bedok,Bayshore,60 - 64,Others,10
Bedok,Bayshore,65 - 69,Total,350
Bedok,Bayshore,65 - 69,Total HDB^,-
Bedok,Bayshore,65 - 69,1- and 2-Room Flats*,-
Bedok,Bayshore,65 - 69,3-Room Flats,-
Bedok,Bayshore,65 - 69,4-Room Flats,-
Bedok,Bayshore,65 - 69,5-Room and Executive Flats,-
Bedok,Bayshore,65 - 69,Condominiums and Other Apartments,300
Bedok,Bayshore,65 - 69,Landed Properties,50
Bedok,Bayshore,65 - 69,Others,10
Bedok,Bayshore,70 - 74,Total,280
Bedok,Bayshore,70 - 74,Total HDB^,-
Bedok,Bayshore,70 - 74,1- and 2-Room Flats*,-
Bedok,Bayshore,70 - 74,3-Room Flats,-
Bedok,Bayshore,70 - 74,4-Room Flats,-
Bedok,Bayshore,70 - 74,5-Room and Executive Flats,-
Bedok,Bayshore,70 - 74,Condominiums and Other Apartments,240
Bedok,Bayshore,70 - 74,Landed Properties,30
Bedok,Bayshore,70 - 74,Others,10
Bedok,Bayshore,75 - 79,Total,130
Bedok,Bayshore,75 - 79,Total HDB^,-
Bedok,Bayshore,75 - 79,1- and 2-Room Flats*,-
Bedok,Bayshore,75 - 79,3-Room Flats,-
Bedok,Bayshore,75 - 79,4-Room Flats,-
Bedok,Bayshore,75 - 79,5-Room and Executive Flats,-
Bedok,Bayshore,75 - 79,Condominiums and Other Apartments,80
Bedok,Bayshore,75 - 79,Landed Properties,20
Bedok,Bayshore,75 - 79,Others,20
Bedok,Bayshore,80 - 84,Total,90
Bedok,Bayshore,80 - 84,Total HDB^,-
Bedok,Bayshore,80 - 84,1- and 2-Room Flats*,-
Bedok,Bayshore,80 - 84,3-Room Flats,-
Bedok,Bayshore,80 - 84,4-Room Flats,-
Bedok,Bayshore,80 - 84,5-Room and Executive Flats,-
Bedok,Bayshore,80 - 84,Condominiums and Other Apartments,60
Bedok,Bayshore,80 - 84,Landed Properties,10
Bedok,Bayshore,80 - 84,Others,20
Bedok,Bayshore,85 - 89,Total,40
Bedok,Bayshore,85 - 89,Total HDB^,-
Bedok,Bayshore,85 - 89,1- and 2-Room Flats*,-
Bedok,Bayshore,85 - 89,3-Room Flats,-
Bedok,Bayshore,85 - 89,4-Room Flats,-
Bedok,Bayshore,85 - 89,5-Room and Executive Flats,-
Bedok,Bayshore,85 - 89,Condominiums and Other Apartments,30
Bedok,Bayshore,85 - 89,Landed Properties,10
Bedok,Bayshore,85 - 89,Others,10
Bedok,Bayshore,90 & Over,Total,50
Bedok,Bayshore,90 & Over,Total HDB^,-
Bedok,Bayshore,90 & Over,1- and 2-Room Flats*,-
Bedok,Bayshore,90 & Over,3-Room Flats,-
Bedok,Bayshore,90 & Over,4-Room Flats,-
Bedok,Bayshore,90 & Over,5-Room and Executive Flats,-
Bedok,Bayshore,90 & Over,Condominiums and Other Apartments,20
Bedok,Bayshore,90 & Over,Landed Properties,10
Bedok,Bayshore,90 & Over,Others,30
Bedok,Bedok North,Total,Total,"81,840"
Bedok,Bedok North,Total,Total HDB^,"71,560"
Bedok,Bedok North,Total,1- and 2-Room Flats*,"4,460"
Bedok,Bedok North,Total,3-Room Flats,"30,850"
Bedok,Bedok North,Total,4-Room Flats,"25,570"
Bedok,Bedok North,Total,5-Room and Executive Flats,"10,690"
Bedok,Bedok North,Total,Condominiums and Other Apartments,"5,440"
Bedok,Bedok North,Total,Landed Properties,"4,380"
Bedok,Bedok North,Total,Others,460
Bedok,Bedok North,0 - 4,Total,"2,710"
Bedok,Bedok North,0 - 4,Total HDB^,"2,360"
Bedok,Bedok North,0 - 4,1- and 2-Room Flats*,220
Bedok,Bedok North,0 - 4,3-Room Flats,770
Bedok,Bedok North,0 - 4,4-Room Flats,"1,040"
Bedok,Bedok North,0 - 4,5-Room and Executive Flats,340
Bedok,Bedok North,0 - 4,Condominiums and Other Apartments,230
Bedok,Bedok North,0 - 4,Landed Properties,110
Bedok,Bedok North,0 - 4,Others,10
Bedok,Bedok North,5 - 9,Total,"3,080"
Bedok,Bedok North,5 - 9,Total HDB^,"2,570"
Bedok,Bedok North,5 - 9,1- and 2-Room Flats*,220
Bedok,Bedok North,5 - 9,3-Room Flats,840
Bedok,Bedok North,5 - 9,4-Room Flats,"1,010"
Bedok,Bedok North,5 - 9,5-Room and Executive Flats,510
Bedok,Bedok North,5 - 9,Condominiums and Other Apartments,330
Bedok,Bedok North,5 - 9,Landed Properties,170
Bedok,Bedok North,5 - 9,Others,10
Bedok,Bedok North,10 - 14,Total,"3,440"
Bedok,Bedok North,10 - 14,Total HDB^,"2,870"
Bedok,Bedok North,10 - 14,1- and 2-Room Flats*,170
Bedok,Bedok North,10 - 14,3-Room Flats,"1,060"
Bedok,Bedok North,10 - 14,4-Room Flats,"1,130"
Bedok,Bedok North,10 - 14,5-Room and Executive Flats,510
Bedok,Bedok North,10 - 14,Condominiums and Other Apartments,340
Bedok,Bedok North,10 - 14,Landed Properties,210
Bedok,Bedok North,10 - 14,Others,10
Bedok,Bedok North,15 - 19,Total,"4,000"
Bedok,Bedok North,15 - 19,Total HDB^,"3,400"
Bedok,Bedok North,15 - 19,1- and 2-Room Flats*,230
Bedok,Bedok North,15 - 19,3-Room Flats,"1,390"
Bedok,Bedok North,15 - 19,4-Room Flats,"1,200"
Bedok,Bedok North,15 - 19,5-Room and Executive Flats,580
Bedok,Bedok North,15 - 19,Condominiums and Other Apartments,320
Bedok,Bedok North,15 - 19,Landed Properties,260
Bedok,Bedok North,15 - 19,Others,20
Bedok,Bedok North,20 - 24,Total,"4,760"
Bedok,Bedok North,20 - 24,Total HDB^,"4,090"
Bedok,Bedok North,20 - 24,1- and 2-Room Flats*,280
Bedok,Bedok North,20 - 24,3-Room Flats,"1,580"
Bedok,Bedok North,20 - 24,4-Room Flats,"1,530"
Bedok,Bedok North,20 - 24,5-Room and Executive Flats,710
Bedok,Bedok North,20 - 24,Condominiums and Other Apartments,330
Bedok,Bedok North,20 - 24,Landed Properties,310
Bedok,Bedok North,20 - 24,Others,30
Bedok,Bedok North,25 - 29,Total,"5,620"
Bedok,Bedok North,25 - 29,Total HDB^,"4,780"
Bedok,Bedok North,25 - 29,1- and 2-Room Flats*,280
Bedok,Bedok North,25 - 29,3-Room Flats,"1,850"
Bedok,Bedok North,25 - 29,4-Room Flats,"1,840"
Bedok,Bedok North,25 - 29,5-Room and Executive Flats,820
Bedok,Bedok North,25 - 29,Condominiums and Other Apartments,360
Bedok,Bedok North,25 - 29,Landed Properties,430
Bedok,Bedok North,25 - 29,Others,40
Bedok,Bedok North,30 - 34,Total,"5,280"
Bedok,Bedok North,30 - 34,Total HDB^,"4,640"
Bedok,Bedok North,30 - 34,1- and 2-Room Flats*,210
Bedok,Bedok North,30 - 34,3-Room Flats,"1,760"
Bedok,Bedok North,30 - 34,4-Room Flats,"1,960"
Bedok,Bedok North,30 - 34,5-Room and Executive Flats,710
Bedok,Bedok North,30 - 34,Condominiums and Other Apartments,320
Bedok,Bedok North,30 - 34,Landed Properties,280
Bedok,Bedok North,30 - 34,Others,50
Bedok,Bedok North,35 - 39,Total,"5,100"
Bedok,Bedok North,35 - 39,Total HDB^,"4,430"
Bedok,Bedok North,35 - 39,1- and 2-Room Flats*,190
Bedok,Bedok North,35 - 39,3-Room Flats,"1,780"
Bedok,Bedok North,35 - 39,4-Room Flats,"1,760"
Bedok,Bedok North,35 - 39,5-Room and Executive Flats,700
Bedok,Bedok North,35 - 39,Condominiums and Other Apartments,460
Bedok,Bedok North,35 - 39,Landed Properties,180
Bedok,Bedok North,35 - 39,Others,30
Bedok,Bedok North,40 - 44,Total,"5,670"
Bedok,Bedok North,40 - 44,Total HDB^,"4,870"
Bedok,Bedok North,40 - 44,1- and 2-Room Flats*,160
Bedok,Bedok North,40 - 44,3-Room Flats,"2,130"
Bedok,Bedok North,40 - 44,4-Room Flats,"1,830"
Bedok,Bedok North,40 - 44,5-Room and Executive Flats,760
Bedok,Bedok North,40 - 44,Condominiums and Other Apartments,530
Bedok,Bedok North,40 - 44,Landed Properties,230
Bedok,Bedok North,40 - 44,Others,40
Bedok,Bedok North,45 - 49,Total,"5,960"
Bedok,Bedok North,45 - 49,Total HDB^,"5,100"
Bedok,Bedok North,45 - 49,1- and 2-Room Flats*,210
Bedok,Bedok North,45 - 49,3-Room Flats,"2,360"
Bedok,Bedok North,45 - 49,4-Room Flats,"1,780"
Bedok,Bedok North,45 - 49,5-Room and Executive Flats,750
Bedok,Bedok North,45 - 49,Condominiums and Other Apartments,560
Bedok,Bedok North,45 - 49,Landed Properties,270
Bedok,Bedok North,45 - 49,Others,30
Bedok,Bedok North,50 - 54,Total,"6,030"
Bedok,Bedok North,50 - 54,Total HDB^,"5,280"
Bedok,Bedok North,50 - 54,1- and 2-Room Flats*,280
Bedok,Bedok North,50 - 54,3-Room Flats,"2,460"
Bedok,Bedok North,50 - 54,4-Room Flats,"1,820"
Bedok,Bedok North,50 - 54,5-Room and Executive Flats,720
Bedok,Bedok North,50 - 54,Condominiums and Other Apartments,450
Bedok,Bedok North,50 - 54,Landed Properties,280
Bedok,Bedok North,50 - 54,Others,30
Bedok,Bedok North,55 - 59,Total,"6,950"
Bedok,Bedok North,55 - 59,Total HDB^,"6,100"
Bedok,Bedok North,55 - 59,1- and 2-Room Flats*,390
Bedok,Bedok North,55 - 59,3-Room Flats,"2,940"
Bedok,Bedok North,55 - 59,4-Room Flats,"1,980"
Bedok,Bedok North,55 - 59,5-Room and Executive Flats,790
Bedok,Bedok North,55 - 59,Condominiums and Other Apartments,400
Bedok,Bedok North,55 - 59,Landed Properties,410
Bedok,Bedok North,55 - 59,Others,40
Bedok,Bedok North,60 - 64,Total,"6,560"
Bedok,Bedok North,60 - 64,Total HDB^,"5,840"
Bedok,Bedok North,60 - 64,1- and 2-Room Flats*,440
Bedok,Bedok North,60 - 64,3-Room Flats,"2,770"
Bedok,Bedok North,60 - 64,4-Room Flats,"1,840"
Bedok,Bedok North,60 - 64,5-Room and Executive Flats,790
Bedok,Bedok North,60 - 64,Condominiums and Other Apartments,300
Bedok,Bedok North,60 - 64,Landed Properties,390
Bedok,Bedok North,60 - 64,Others,30
Bedok,Bedok North,65 - 69,Total,"5,980"
Bedok,Bedok North,65 - 69,Total HDB^,"5,400"
Bedok,Bedok North,65 - 69,1- and 2-Room Flats*,410
Bedok,Bedok North,65 - 69,3-Room Flats,"2,440"
Bedok,Bedok North,65 - 69,4-Room Flats,"1,790"
Bedok,Bedok North,65 - 69,5-Room and Executive Flats,760
Bedok,Bedok North,65 - 69,Condominiums and Other Apartments,230
Bedok,Bedok North,65 - 69,Landed Properties,310
Bedok,Bedok North,65 - 69,Others,40
Bedok,Bedok North,70 - 74,Total,"4,920"
Bedok,Bedok North,70 - 74,Total HDB^,"4,520"
Bedok,Bedok North,70 - 74,1- and 2-Room Flats*,320
Bedok,Bedok North,70 - 74,3-Room Flats,"2,200"
Bedok,Bedok North,70 - 74,4-Room Flats,"1,360"
Bedok,Bedok North,70 - 74,5-Room and Executive Flats,640
Bedok,Bedok North,70 - 74,Condominiums and Other Apartments,140
Bedok,Bedok North,70 - 74,Landed Properties,230
Bedok,Bedok North,70 - 74,Others,30
Bedok,Bedok North,75 - 79,Total,"2,550"
Bedok,Bedok North,75 - 79,Total HDB^,"2,350"
Bedok,Bedok North,75 - 79,1- and 2-Room Flats*,200
Bedok,Bedok North,75 - 79,3-Room Flats,"1,150"
Bedok,Bedok North,75 - 79,4-Room Flats,730
Bedok,Bedok North,75 - 79,5-Room and Executive Flats,270
Bedok,Bedok North,75 - 79,Condominiums and Other Apartments,70
Bedok,Bedok North,75 - 79,Landed Properties,120
Bedok,Bedok North,75 - 79,Others,10
Bedok,Bedok North,80 - 84,Total,"1,740"
Bedok,Bedok North,80 - 84,Total HDB^,"1,600"
Bedok,Bedok North,80 - 84,1- and 2-Room Flats*,140
Bedok,Bedok North,80 - 84,3-Room Flats,770
Bedok,Bedok North,80 - 84,4-Room Flats,500
Bedok,Bedok North,80 - 84,5-Room and Executive Flats,190
Bedok,Bedok North,80 - 84,Condominiums and Other Apartments,40
Bedok,Bedok North,80 - 84,Landed Properties,90
Bedok,Bedok North,80 - 84,Others,10
Bedok,Bedok North,85 - 89,Total,970
Bedok,Bedok North,85 - 89,Total HDB^,890
Bedok,Bedok North,85 - 89,1- and 2-Room Flats*,100
Bedok,Bedok North,85 - 89,3-Room Flats,400
Bedok,Bedok North,85 - 89,4-Room Flats,300
Bedok,Bedok North,85 - 89,5-Room and Executive Flats,100
Bedok,Bedok North,85 - 89,Condominiums and Other Apartments,20
Bedok,Bedok North,85 - 89,Landed Properties,60
Bedok,Bedok North,85 - 89,Others,10
Bedok,Bedok North,90 & Over,Total,540
Bedok,Bedok North,90 & Over,Total HDB^,470
Bedok,Bedok North,90 & Over,1- and 2-Room Flats*,40
Bedok,Bedok North,90 & Over,3-Room Flats,200
Bedok,Bedok North,90 & Over,4-Room Flats,170
Bedok,Bedok North,90 & Over,5-Room and Executive Flats,60
Bedok,Bedok North,90 & Over,Condominiums and Other Apartments,10
Bedok,Bedok North,90 & Over,Landed Properties,40
Bedok,Bedok North,90 & Over,Others,10
Bedok,Bedok Reservoir,Total,Total,"25,470"
Bedok,Bedok Reservoir,Total,Total HDB^,"17,440"
Bedok,Bedok Reservoir,Total,1- and 2-Room Flats*,-
Bedok,Bedok Reservoir,Total,3-Room Flats,"2,840"
Bedok,Bedok Reservoir,Total,4-Room Flats,"8,320"
Bedok,Bedok Reservoir,Total,5-Room and Executive Flats,"6,270"
Bedok,Bedok Reservoir,Total,Condominiums and Other Apartments,"7,930"
Bedok,Bedok Reservoir,Total,Landed Properties,50
Bedok,Bedok Reservoir,Total,Others,40
Bedok,Bedok Reservoir,0 - 4,Total,"1,100"
Bedok,Bedok Reservoir,0 - 4,Total HDB^,750
Bedok,Bedok Reservoir,0 - 4,1- and 2-Room Flats*,-
Bedok,Bedok Reservoir,0 - 4,3-Room Flats,90
Bedok,Bedok Reservoir,0 - 4,4-Room Flats,360
Bedok,Bedok Reservoir,0 - 4,5-Room and Executive Flats,290
Bedok,Bedok Reservoir,0 - 4,Condominiums and Other Apartments,340
Bedok,Bedok Reservoir,0 - 4,Landed Properties,-
Bedok,Bedok Reservoir,0 - 4,Others,-
Bedok,Bedok Reservoir,5 - 9,Total,"1,270"
Bedok,Bedok Reservoir,5 - 9,Total HDB^,710
Bedok,Bedok Reservoir,5 - 9,1- and 2-Room Flats*,-
Bedok,Bedok Reservoir,5 - 9,3-Room Flats,80
Bedok,Bedok Reservoir,5 - 9,4-Room Flats,350
Bedok,Bedok Reservoir,5 - 9,5-Room and Executive Flats,290
Bedok,Bedok Reservoir,5 - 9,Condominiums and Other Apartments,550
Bedok,Bedok Reservoir,5 - 9,Landed Properties,-
Bedok,Bedok Reservoir,5 - 9,Others,-
Bedok,Bedok Reservoir,10 - 14,Total,"1,400"
Bedok,Bedok Reservoir,10 - 14,Total HDB^,750
Bedok,Bedok Reservoir,10 - 14,1- and 2-Room Flats*,-
Bedok,Bedok Reservoir,10 - 14,3-Room Flats,110
Bedok,Bedok Reservoir,10 - 14,4-Room Flats,360
Bedok,Bedok Reservoir,10 - 14,5-Room and Executive Flats,290
Bedok,Bedok Reservoir,10 - 14,Condominiums and Other Apartments,640
Bedok,Bedok Reservoir,10 - 14,Landed Properties,10
Bedok,Bedok Reservoir,10 - 14,Others,-
Bedok,Bedok Reservoir,15 - 19,Total,"1,510"
Bedok,Bedok Reservoir,15 - 19,Total HDB^,910
Bedok,Bedok Reservoir,15 - 19,1- and 2-Room Flats*,-
Bedok,Bedok Reservoir,15 - 19,3-Room Flats,130
Bedok,Bedok Reservoir,15 - 19,4-Room Flats,440
Bedok,Bedok Reservoir,15 - 19,5-Room and Executive Flats,330
Bedok,Bedok Reservoir,15 - 19,Condominiums and Other Apartments,600
Bedok,Bedok Reservoir,15 - 19,Landed Properties,10
Bedok,Bedok Reservoir,15 - 19,Others,-
Bedok,Bedok Reservoir,20 - 24,Total,"1,490"
Bedok,Bedok Reservoir,20 - 24,Total HDB^,"1,020"
Bedok,Bedok Reservoir,20 - 24,1- and 2-Room Flats*,-
Bedok,Bedok Reservoir,20 - 24,3-Room Flats,150
Bedok,Bedok Reservoir,20 - 24,4-Room Flats,480
Bedok,Bedok Reservoir,20 - 24,5-Room and Executive Flats,400
Bedok,Bedok Reservoir,20 - 24,Condominiums and Other Apartments,470
Bedok,Bedok Reservoir,20 - 24,Landed Properties,-
Bedok,Bedok Reservoir,20 - 24,Others,-
Bedok,Bedok Reservoir,25 - 29,Total,"1,600"
Bedok,Bedok Reservoir,25 - 29,Total HDB^,"1,170"
Bedok,Bedok Reservoir,25 - 29,1- and 2-Room Flats*,-
Bedok,Bedok Reservoir,25 - 29,3-Room Flats,160
Bedok,Bedok Reservoir,25 - 29,4-Room Flats,550
Bedok,Bedok Reservoir,25 - 29,5-Room and Executive Flats,460
Bedok,Bedok Reservoir,25 - 29,Condominiums and Other Apartments,420
Bedok,Bedok Reservoir,25 - 29,Landed Properties,-
Bedok,Bedok Reservoir,25 - 29,Others,-
Bedok,Bedok Reservoir,30 - 34,Total,"1,830"
Bedok,Bedok Reservoir,30 - 34,Total HDB^,"1,400"
Bedok,Bedok Reservoir,30 - 34,1- and 2-Room Flats*,-
Bedok,Bedok Reservoir,30 - 34,3-Room Flats,200
Bedok,Bedok Reservoir,30 - 34,4-Room Flats,730
Bedok,Bedok Reservoir,30 - 34,5-Room and Executive Flats,470
Bedok,Bedok Reservoir,30 - 34,Condominiums and Other Apartments,420
Bedok,Bedok Reservoir,30 - 34,Landed Properties,10
Bedok,Bedok Reservoir,30 - 34,Others,10
Bedok,Bedok Reservoir,35 - 39,Total,"1,900"
Bedok,Bedok Reservoir,35 - 39,Total HDB^,"1,320"
Bedok,Bedok Reservoir,35 - 39,1- and 2-Room Flats*,-
Bedok,Bedok Reservoir,35 - 39,3-Room Flats,180
Bedok,Bedok Reservoir,35 - 39,4-Room Flats,650
Bedok,Bedok Reservoir,35 - 39,5-Room and Executive Flats,480
Bedok,Bedok Reservoir,35 - 39,Condominiums and Other Apartments,580
Bedok,Bedok Reservoir,35 - 39,Landed Properties,-
Bedok,Bedok Reservoir,35 - 39,Others,-
Bedok,Bedok Reservoir,40 - 44,Total,"2,090"
Bedok,Bedok Reservoir,40 - 44,Total HDB^,"1,190"
Bedok,Bedok Reservoir,40 - 44,1- and 2-Room Flats*,-
Bedok,Bedok Reservoir,40 - 44,3-Room Flats,170
Bedok,Bedok Reservoir,40 - 44,4-Room Flats,600
Bedok,Bedok Reservoir,40 - 44,5-Room and Executive Flats,420
Bedok,Bedok Reservoir,40 - 44,Condominiums and Other Apartments,890
Bedok,Bedok Reservoir,40 - 44,Landed Properties,10
Bedok,Bedok Reservoir,40 - 44,Others,-
Bedok,Bedok Reservoir,45 - 49,Total,"2,110"
Bedok,Bedok Reservoir,45 - 49,Total HDB^,"1,190"
Bedok,Bedok Reservoir,45 - 49,1- and 2-Room Flats*,-
Bedok,Bedok Reservoir,45 - 49,3-Room Flats,190
Bedok,Bedok Reservoir,45 - 49,4-Room Flats,550
Bedok,Bedok Reservoir,45 - 49,5-Room and Executive Flats,450
Bedok,Bedok Reservoir,45 - 49,Condominiums and Other Apartments,910
Bedok,Bedok Reservoir,45 - 49,Landed Properties,10
Bedok,Bedok Reservoir,45 - 49,Others,-
Bedok,Bedok Reservoir,50 - 54,Total,"1,920"
Bedok,Bedok Reservoir,50 - 54,Total HDB^,"1,210"
Bedok,Bedok Reservoir,50 - 54,1- and 2-Room Flats*,-
Bedok,Bedok Reservoir,50 - 54,3-Room Flats,210
Bedok,Bedok Reservoir,50 - 54,4-Room Flats,580
Bedok,Bedok Reservoir,50 - 54,5-Room and Executive Flats,420
Bedok,Bedok Reservoir,50 - 54,Condominiums and Other Apartments,710
Bedok,Bedok Reservoir,50 - 54,Landed Properties,-
Bedok,Bedok Reservoir,50 - 54,Others,-
Bedok,Bedok Reservoir,55 - 59,Total,"1,840"
Bedok,Bedok Reservoir,55 - 59,Total HDB^,"1,340"
Bedok,Bedok Reservoir,55 - 59,1- and 2-Room Flats*,-
Bedok,Bedok Reservoir,55 - 59,3-Room Flats,260
Bedok,Bedok Reservoir,55 - 59,4-Room Flats,630
Bedok,Bedok Reservoir,55 - 59,5-Room and Executive Flats,440
Bedok,Bedok Reservoir,55 - 59,Condominiums and Other Apartments,500
Bedok,Bedok Reservoir,55 - 59,Landed Properties,-
Bedok,Bedok Reservoir,55 - 59,Others,10
Bedok,Bedok Reservoir,60 - 64,Total,"1,800"
Bedok,Bedok Reservoir,60 - 64,Total HDB^,"1,410"
Bedok,Bedok Reservoir,60 - 64,1- and 2-Room Flats*,-
Bedok,Bedok Reservoir,60 - 64,3-Room Flats,270
Bedok,Bedok Reservoir,60 - 64,4-Room Flats,680
Bedok,Bedok Reservoir,60 - 64,5-Room and Executive Flats,470
Bedok,Bedok Reservoir,60 - 64,Condominiums and Other Apartments,380
Bedok,Bedok Reservoir,60 - 64,Landed Properties,-
Bedok,Bedok Reservoir,60 - 64,Others,-
Bedok,Bedok Reservoir,65 - 69,Total,"1,550"
Bedok,Bedok Reservoir,65 - 69,Total HDB^,"1,280"
Bedok,Bedok Reservoir,65 - 69,1- and 2-Room Flats*,-
Bedok,Bedok Reservoir,65 - 69,3-Room Flats,240
Bedok,Bedok Reservoir,65 - 69,4-Room Flats,570
Bedok,Bedok Reservoir,65 - 69,5-Room and Executive Flats,470
Bedok,Bedok Reservoir,65 - 69,Condominiums and Other Apartments,260
Bedok,Bedok Reservoir,65 - 69,Landed Properties,-
Bedok,Bedok Reservoir,65 - 69,Others,10
Bedok,Bedok Reservoir,70 - 74,Total,"1,050"
Bedok,Bedok Reservoir,70 - 74,Total HDB^,900
Bedok,Bedok Reservoir,70 - 74,1- and 2-Room Flats*,-
Bedok,Bedok Reservoir,70 - 74,3-Room Flats,200
Bedok,Bedok Reservoir,70 - 74,4-Room Flats,390
Bedok,Bedok Reservoir,70 - 74,5-Room and Executive Flats,310
Bedok,Bedok Reservoir,70 - 74,Condominiums and Other Apartments,150
Bedok,Bedok Reservoir,70 - 74,Landed Properties,-
Bedok,Bedok Reservoir,70 - 74,Others,-
Bedok,Bedok Reservoir,75 - 79,Total,470
Bedok,Bedok Reservoir,75 - 79,Total HDB^,400
Bedok,Bedok Reservoir,75 - 79,1- and 2-Room Flats*,-
Bedok,Bedok Reservoir,75 - 79,3-Room Flats,90
Bedok,Bedok Reservoir,75 - 79,4-Room Flats,180
Bedok,Bedok Reservoir,75 - 79,5-Room and Executive Flats,130
Bedok,Bedok Reservoir,75 - 79,Condominiums and Other Apartments,70
Bedok,Bedok Reservoir,75 - 79,Landed Properties,-
Bedok,Bedok Reservoir,75 - 79,Others,-
Bedok,Bedok Reservoir,80 - 84,Total,310
Bedok,Bedok Reservoir,80 - 84,Total HDB^,270
Bedok,Bedok Reservoir,80 - 84,1- and 2-Room Flats*,-
Bedok,Bedok Reservoir,80 - 84,3-Room Flats,60
Bedok,Bedok Reservoir,80 - 84,4-Room Flats,130
Bedok,Bedok Reservoir,80 - 84,5-Room and Executive Flats,80
Bedok,Bedok Reservoir,80 - 84,Condominiums and Other Apartments,40
Bedok,Bedok Reservoir,80 - 84,Landed Properties,-
Bedok,Bedok Reservoir,80 - 84,Others,-
Bedok,Bedok Reservoir,85 - 89,Total,160
Bedok,Bedok Reservoir,85 - 89,Total HDB^,150
Bedok,Bedok Reservoir,85 - 89,1- and 2-Room Flats*,-
Bedok,Bedok Reservoir,85 - 89,3-Room Flats,30
Bedok,Bedok Reservoir,85 - 89,4-Room Flats,70
Bedok,Bedok Reservoir,85 - 89,5-Room and Executive Flats,50
Bedok,Bedok Reservoir,85 - 89,Condominiums and Other Apartments,20
Bedok,Bedok Reservoir,85 - 89,Landed Properties,-
Bedok,Bedok Reservoir,85 - 89,Others,-
Bedok,Bedok Reservoir,90 & Over,Total,80
Bedok,Bedok Reservoir,90 & Over,Total HDB^,80
Bedok,Bedok Reservoir,90 & Over,1- and 2-Room Flats*,-
Bedok,Bedok Reservoir,90 & Over,3-Room Flats,20
Bedok,Bedok Reservoir,90 & Over,4-Room Flats,40
Bedok,Bedok Reservoir,90 & Over,5-Room and Executive Flats,20
Bedok,Bedok Reservoir,90 & Over,Condominiums and Other Apartments,-
Bedok,Bedok Reservoir,90 & Over,Landed Properties,-
Bedok,Bedok Reservoir,90 & Over,Others,-
Bedok,Bedok South,Total,Total,"46,690"
Bedok,Bedok South,Total,Total HDB^,"27,720"
Bedok,Bedok South,Total,1- and 2-Room Flats*,"1,510"
Bedok,Bedok South,Total,3-Room Flats,"7,920"
Bedok,Bedok South,Total,4-Room Flats,"11,540"
Bedok,Bedok South,Total,5-Room and Executive Flats,"6,750"
